car_name,price,year,engine,mileage,valyuta,exchange_rate
Hyundai Sonata,11500,2010,2.4,128000,$,1.70
Hyundai Sonata,29500,2018,2.4,7700,$,1.70
Hyundai Sonata,13100,2005,2.4,188000,AZN,1.00
Hyundai Sonata,22800,2010,2.4,139400,AZN,1.00
Hyundai Sonata,19900,2014,2.4,81000,$,1.70
Hyundai Sonata,15300,2007,2.0,168000,AZN,1.00
Hyundai Sonata,12800,2005,2.0,180000,AZN,1.00
Hyundai Sonata,28500,2015,2.0,32500,AZN,1.00
Hyundai Sonata,20800,2012,2.0,59000,AZN,1.00
Hyundai Sonata,4600,2000,2.4,230000,AZN,1.00
Hyundai Sonata,21000,2010,2.4,140000,AZN,1.00
Hyundai Sonata,20900,2012,2.0,81000,AZN,1.00
Hyundai Sonata,17300,2008,2.4,182000,AZN,1.00
Hyundai Sonata,22900,2010,2.4,135000,AZN,1.00
Hyundai Sonata,31900,2015,2.4,109000,AZN,1.00
Hyundai Sonata,15200,2006,2.4,260000,AZN,1.00
Hyundai Sonata,12800,2007,2.0,184000,AZN,1.00
Hyundai Sonata,39900,2011,5.0,140000,$,1.70
Hyundai Sonata,3450,2006,1.6,73000,AZN,1.00
Hyundai Sonata,32600,2016,2.4,27900,AZN,1.00
Hyundai Sonata,29800,2015,2.0,33000,AZN,1.00
Hyundai Sonata,14300,2007,2.4,136000,AZN,1.00
Hyundai Sonata,16400,2008,2.0,195217,AZN,1.00
Hyundai Sonata,14500,2009,2.4,138000,AZN,1.00
Hyundai Sonata,18800,2017,2.0,0,AZN,1.00
Hyundai Sonata,21800,2010,2.4,207000,AZN,1.00
Hyundai Sonata,21900,2009,2.0,109000,AZN,1.00
Hyundai Sonata,9000,2007,2.4,300000,AZN,1.00
Hyundai Sonata,11000,2005,2.4,239500,AZN,1.00
Hyundai Sonata,14500,2009,2.4,138000,AZN,1.00
Hyundai Sonata,12500,2011,2.0,111000,$,1.70
Hyundai Sonata,9800,2004,2.0,320000,AZN,1.00
Hyundai Sonata,18500,2008,2.0,100000,AZN,1.00
Hyundai Sonata,18900,2011,2.0,82000,AZN,1.00
Hyundai Sonata,17900,2008,2.0,132000,AZN,1.00
Hyundai Sonata,20300,2012,2.4,109000,AZN,1.00
Hyundai Sonata,13800,2005,2.4,114000,AZN,1.00
Hyundai Sonata,19000,2012,2.4,90000,AZN,1.00
Hyundai Sonata,24600,2014,2.4,68200,AZN,1.00
Hyundai Sonata,19900,2012,2.0,56800,AZN,1.00
Hyundai Sonata,15700,2008,2.0,180979,AZN,1.00
Hyundai Sonata,18300,2008,2.0,223000,AZN,1.00
Hyundai Sonata,16500,2007,2.0,192000,AZN,1.00
Hyundai Sonata,18200,2008,2.0,145000,AZN,1.00
Hyundai Sonata,14400,2007,2.4,196000,AZN,1.00
Hyundai Sonata,7800,2011,1.6,93000,AZN,1.00
Hyundai Sonata,14900,2007,2.0,156800,AZN,1.00
Hyundai Sonata,18800,2012,2.4,109000,AZN,1.00
Hyundai Sonata,14500,2006,2.4,199000,AZN,1.00
Hyundai Sonata,9800,2004,2.0,310000,AZN,1.00
Hyundai Sonata,9500,2004,2.4,230000,AZN,1.00
Hyundai Sonata,14000,2007,2.4,285000,AZN,1.00
Hyundai Sonata,15900,2007,2.4,185000,AZN,1.00
Hyundai Sonata,21900,2017,2.0,24000,$,1.70
Hyundai Sonata,8000,2003,2.0,140000,AZN,1.00
Hyundai Sonata,9200,2013,2.4,90000,AZN,1.00
Hyundai Sonata,21500,2011,2.0,170000,AZN,1.00
Hyundai Sonata,14400,2007,2.4,206000,AZN,1.00
Hyundai Sonata,17500,2008,2.4,196000,AZN,1.00
Hyundai Sonata,19000,2009,2.0,136000,AZN,1.00
Hyundai Sonata,19700,2008,2.0,117000,AZN,1.00
Hyundai Sonata,14300,2007,2.4,153000,AZN,1.00
Hyundai Sonata,5000,1995,2.0,253000,AZN,1.00
Hyundai Sonata,37000,2015,2.0,60000,AZN,1.00
Hyundai Sonata,25600,2014,2.4,43000,AZN,1.00
Hyundai Sonata,7900,2004,2.4,395500,AZN,1.00
Hyundai Sonata,15200,2007,2.4,186000,AZN,1.00
Hyundai Sonata,22800,2013,2.4,68000,AZN,1.00
Hyundai Sonata,28000,2012,2.4,80000,AZN,1.00
Hyundai Sonata,8000,2003,2.0,400000,AZN,1.00
Hyundai Sonata,14200,2006,2.4,200324,AZN,1.00
