car_name,price,year,engine,mileage,valyuta,exchange_rate
Opel Astra,30000,2010,3.5,183000,AZN,1.00
Opel Astra,25000,2009,3.0,166788,$,1.70
Opel Astra,11900,2005,1.3,292000,AZN,1.00
Opel Astra,7700,1999,2.0,198000,AZN,1.00
Opel Astra,8500,2000,1.8,420000,AZN,1.00
Opel Astra,13200,2007,1.3,210296,AZN,1.00
Opel Astra,7800,1999,3.2,185000,AZN,1.00
Opel Astra,12500,2009,1.3,220001,AZN,1.00
Opel Astra,11400,2007,1.3,92400,AZN,1.00
Opel Astra,8700,1999,1.6,202606,AZN,1.00
Opel Astra,8100,1999,1.6,321200,AZN,1.00
Opel Astra,5000,1997,1.6,283000,AZN,1.00
Opel Astra,16300,1995,1.6,248210,AZN,1.00
Opel Astra,21900,1977,1.3,355000,$,1.70
Opel Astra,8800,1999,1.6,237895,AZN,1.00
Opel Astra,14500,2008,1.8,186000,AZN,1.00
Opel Astra,10800,2007,1.4,156000,AZN,1.00
Opel Astra,7800,1999,1.6,322000,AZN,1.00
Opel Astra,10300,2006,1.4,202000,AZN,1.00
Opel Astra,11800,2007,1.3,148500,AZN,1.00
Opel Astra,10800,2006,1.4,144309,AZN,1.00
Opel Astra,11800,2006,1.4,152000,AZN,1.00
Opel Astra,8500,1999,1.6,269547,AZN,1.00
Opel Astra,12900,2007,1.7,227500,AZN,1.00
Opel Astra,7500,1999,1.6,333000,AZN,1.00
Opel Astra,5000,1993,1.6,366322,AZN,1.00
Opel Astra,13600,2008,1.9,339000,AZN,1.00
Opel Astra,8600,1999,2.0,411000,AZN,1.00
Opel Astra,10000,2002,1.6,168911,AZN,1.00
Opel Astra,4500,1997,1.8,320000,AZN,1.00
Opel Astra,8500,1998,1.6,220000,AZN,1.00
Opel Astra,5300,1995,1.6,250000,AZN,1.00
Opel Astra,4300,1997,1.6,289700,AZN,1.00
Opel Astra,9000,1999,1.8,322701,AZN,1.00
Opel Astra,7700,1998,1.6,275000,AZN,1.00
Opel Astra,3900,1993,1.6,215600,AZN,1.00
Opel Astra,5500,1996,1.6,330000,AZN,1.00
Opel Astra,8200,1999,1.6,212644,AZN,1.00
Opel Astra,8300,1998,1.6,240000,AZN,1.00
Opel Astra,12500,2007,1.5,168000,AZN,1.00
Opel Astra,8200,1998,1.6,268000,AZN,1.00
Opel Astra,8800,2003,1.8,309000,AZN,1.00
Opel Astra,10800,2005,1.6,230000,AZN,1.00
Opel Astra,11000,2007,1.3,220000,AZN,1.00
Opel Astra,6000,1992,2.0,195000,AZN,1.00
Opel Astra,8500,1998,1.6,348000,AZN,1.00
Opel Astra,8500,2000,1.6,286000,AZN,1.00
Opel Astra,11500,2008,1.6,275000,AZN,1.00
Opel Astra,4600,1996,1.6,345678,AZN,1.00
Opel Astra,11800,2006,1.4,192000,AZN,1.00
Opel Astra,14500,2014,1.6,130000,AZN,1.00
Opel Astra,22900,1995,2.2,351700,AZN,1.00
Opel Astra,13200,1998,1.8,258969,AZN,1.00
Opel Astra,7900,1998,1.6,434300,AZN,1.00
Opel Astra,8750,2000,1.6,221000,AZN,1.00
Opel Astra,8500,1999,1.6,300205,AZN,1.00
Opel Astra,8900,1998,2.0,340000,AZN,1.00
Opel Astra,5300,1993,1.8,210000,AZN,1.00
Opel Astra,11100,2007,1.3,200000,AZN,1.00
Opel Astra,12200,2009,1.3,205444,AZN,1.00
Opel Astra,8800,1999,1.6,312000,AZN,1.00
Opel Astra,6500,1994,1.6,32000,AZN,1.00
Opel Astra,9500,2001,1.8,220000,AZN,1.00
Opel Astra,9500,2001,1.6,280000,AZN,1.00
Opel Astra,7800,2000,1.6,210000,AZN,1.00
Opel Astra,11300,2006,1.3,179000,AZN,1.00
Opel Astra,9000,1999,1.8,312000,AZN,1.00
Opel Astra,8900,1999,1.8,288765,AZN,1.00
Opel Astra,18500,2008,2.0,100000,AZN,1.00
Opel Astra,9700,1999,1.6,338455,AZN,1.00
Opel Astra,8700,1999,1.6,261800,AZN,1.00
Opel Astra,9200,2000,1.6,292000,AZN,1.00
Opel Astra,6800,1996,1.6,306196,AZN,1.00
Opel Astra,8500,1999,1.6,348000,AZN,1.00
Opel Astra,6500,1997,1.6,275000,AZN,1.00
Opel Astra,7700,2000,1.6,223047,AZN,1.00
Opel Astra,9800,2005,1.7,335000,AZN,1.00
Opel Astra,7800,1998,1.6,150000,AZN,1.00
Opel Astra,4600,1995,1.6,240000,AZN,1.00
Opel Astra,5250,1995,1.6,300000,AZN,1.00
